name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,2021-04-23,82,191013,0.65,0.0215,0.825,2.44e-05,0.0936,0.593,-4.645,0.0325,118.091,0,4
Heat Waves,Heat Waves,Glass Animals,6CDzDgIUqeDY5g8ujExx2f,2020-06-29,79,238805,0.761,0.44,0.525,6.7e-06,0.0921,0.531,-6.9,0.0944,80.87,11,4
Harleys In Hawaii,Smile,Katy Perry,3B4etxytImrRKQgV3XHjnR,2020-08-28,75,185480,0.721,0.162,0.751,6.59e-06,0.118,0.738,-6.203,0.125,140.095,10,4
Every Summertime,Every Summertime,NIKI,68HocO7fx9z0MgDU0ZPHro,2021-08-10,77,215686,0.628,0.393,0.676,6.94e-05,0.0978,0.723,-4.227,0.0424,78.996,6,4
Fortune Cookie Yang Mencinta,Mahagita: Kamikyokutachi,JKT48,469lObbmed3vMkCi7EaXib,2016-04-03,14,282972,0.713,0.0104,0.962,0.0,0.226,0.785,-2.796,0.0582,122.014,2,4
Karena Kusuka Dirimu,Heavy Rotation,JKT48,5MvvfIkbTM4MxCJa3gfh3R,2013,7,248293,0.424,0.000562,0.931,0.00453,0.107,0.689,-4.08,0.0726,158.058,6,4
Rapsodi,Rapsodi,JKT48,7rlrbIP5lcQH8s9MKL0qPf,2020-01-22,15,238672,0.596,0.561,0.594,0.0,0.151,0.487,-6.638,0.0349,144.975,1,4
River,Mahagita: Kamikyokutachi,JKT48,21UirZHRZi1xTc2Fx50nQ8,2016-04-03,5,281671,0.657,0.0374,0.887,0.0,0.665,0.652,-2.464,0.0481,106.502,7,4
あの夢をなぞって,あの夢をなぞって,YOASOBI,4BE1OloRc9xwjyqA4wFFuN,2020-01-18,63,242666,0.537,0.217,0.793,0.000361,0.143,0.73,-3.446,0.04,180.029,8,4
Heavy Rotation,Heavy Rotation,JKT48,7EdzxaYQzbOqOlmwzjDFwX,2013,7,282613,0.397,0.002,0.907,0.0,0.281,0.33,-1.101,0.045,178.039,1,4
Let It All Go,Let It All Go,Birdy,70K0ezmzYEZeqoSaZMyP7o,2015-08-06,65,280757,0.383,0.817,0.43,1.04e-06,0.0869,0.174,-8.644,0.0302,107.005,10,4
Tafsir Mistik,Ombak Banyu Asmara,The Panturas,7aPrTAoaoLGMo1J19RifzN,2021-09-10,49,248272,0.522,0.355,0.824,0.158,0.757,0.616,-7.175,0.0436,115.284,2,4
Mistikus Cinta,Cintailah Cinta,Dewa,50eBgQYY23rTTIoHVDuSIw,2002,52,337973,0.534,0.00357,0.87,8.44e-05,0.0548,0.579,-6.384,0.0411,96.935,7,4
Sanctuary,Nectar,Joji,0rOLFkjY5DSIViVBNnzOuK,2020-09-25,70,180018,0.552,0.387,0.638,0.00014,0.374,0.332,-7.474,0.11,167.834,1,4
i <3 u,Wachito Rico,boy pablo,5EcGSkkNBMAWOePvLgKde1,2020-10-23,64,255000,0.68,0.759,0.263,0.536,0.108,0.232,-13.079,0.0416,86.978,9,4
Whiskey Bottle,Whiskey Bottle,GANGGA,6FPC5aJiqfqccXxlJoUmwv,2021-06-25,56,150720,0.591,0.818,0.504,0.0108,0.106,0.289,-7.592,0.028,150.028,7,4
double take,double take,dhruv,47isJpIIO8m7BJEhiFhnaf,2019-05-24,72,171743,0.456,0.839,0.437,0.0,0.218,0.209,-11.156,0.0867,108.678,8,4
Love Me,Love Me,RealestK,4qgMPzf9QOETWQFUcFkHD4,2022-02-18,66,207546,0.569,0.67,0.325,0.0,0.141,0.274,-9.66,0.0376,122.051,7,3
Swim,Chase Atlantic,Chase Atlantic,3M0lSi5WW79CXQamgSBIjx,2017-10-04,81,228786,0.666,0.27,0.542,0.0,0.0765,0.0771,-6.429,0.0392,120.134,8,4
Give Me the Night,Give Me the Night,George Benson,5gaUkg5JNk8c4mr2jnpX8H,1980-07-16,60,301026,0.835,0.475,0.765,0.0692,0.12,0.855,-7.831,0.0681,110.282,1,4
Ghost,Justice,Justin Bieber,6I3mqTwhRpn34SLVafSH7G,2021-03-19,85,153190,0.601,0.185,0.741,2.91e-05,0.415,0.441,-5.569,0.0478,153.96,2,4
An Art Gallery Could Never Be As Unique As You,An Art Gallery Could Never Be As Unique As You,mrld,1Ry0l6trESL8T4ddsRaYLE,2019-12-11,0,158677,0.48,0.838,0.299,0.0,0.133,0.196,-12.077,0.0525,121.75,7,4
Right Here Right Now (Feat. LOCO & JAY PARK),Coming To You Live,DPR LIVE,47UUNYT0lsDnX9EYHIBf3L,2017-03-15,46,213040,0.742,0.0619,0.634,0.0,0.15,0.42,-6.395,0.101,122.864,4,4
BOHEMIAN,ROMANTIQUE (Mastered by Bernie Grundman),Taeko Onuki,5ULmKQMAwbdVxHNvDtsUzm,1980-07-21,40,249826,0.733,0.659,0.408,0.00256,0.0684,0.411,-12.673,0.0327,125.56,10,4
No Sleep (feat. Bonn),No Sleep (feat. Bonn),Martin Garrix,1ahVFh0ViDZr8LvkEVlq3B,2019-02-21,62,207094,0.44,0.129,0.635,0.0,0.121,0.327,-6.385,0.0326,128.133,11,4
FOOL,FATE NUMBER FOR,WINNER,1mTlfqaoh3piVp3Uhdv7jB,2017-04-04,48,221793,0.652,0.721,0.602,0.0,0.108,0.521,-5.452,0.0348,140.021,4,4
ONLY,4 ONLY,LeeHi,6TBJkXHPhu3EsMk1bshwuI,2021-09-09,76,240906,0.536,0.892,0.296,0.0,0.0873,0.151,-7.451,0.0346,122.907,5,3
W.H.U.T,W.H.U.T (Wanna Hold U Tight),Aisha Retno,4dtmj7X21gunWoQf98hW5L,2021-12-10,65,174000,0.378,0.679,0.646,0.0,0.117,0.398,-5.349,0.0417,126.192,5,3
Cinematic Love,Cinematic Love,Yang Da Il,3rB5fYZr3nSD2tBAvfYPb2,2018-04-13,44,269161,0.364,0.461,0.549,0.0,0.143,0.298,-5.682,0.0378,130.193,2,4
Kidult,Heng:garæ,SEVENTEEN,1kmmKv3L4kGmoPu8aDFOmk,2020-06-22,62,192893,0.549,0.255,0.738,0.0,0.294,0.627,-3.646,0.0516,152.002,4,4
Forever,Forever,GANGGA,7otwxbmB0dVdjdOAhOmUG6,2021-03-26,44,253927,0.329,0.977,0.313,0.214,0.102,0.286,-12.566,0.0431,128.503,7,3
Gagal Bersembunyi,Jabat Erat,The Rain,3w2yEEB0g2AiKF8juCtx69,2016-09-10,54,261169,0.588,0.606,0.407,0.000188,0.123,0.536,-6.829,0.0276,117.966,4,4
Semua Tentang Kita,Taman Langit,Noah,6ULZ6Hw2eYaiq1tlR5thcW,2021-12-17,46,268855,0.63,0.854,0.19,0.00355,0.119,0.228,-12.972,0.0301,94.954,0,4
Smooth Operator - Single Version,The Best of Sade,Sade,1Hv1VTm8zeOeybub15mA2R,1994-10-31,71,258693,0.734,0.238,0.58,0.0006,0.0298,0.962,-6.619,0.0321,119.336,9,4
Plastic Love,Expressions,Mariya Takeuchi,7rU6Iebxzlvqy5t857bKFq,2008-05-21,64,294493,0.648,0.0747,0.875,9.64e-05,0.196,0.857,-5.141,0.034,102.517,2,4
Summer Connection,SUNSHOWER,Taeko Onuki,7jRBeWs7TvE8N8W4tEk3nb,1977-07-25,42,270733,0.529,0.329,0.83,8.25e-05,0.354,0.616,-7.084,0.0555,105.299,3,4
You and I,The Best of Delegation,Delegation,1uGFGhxJ9ISGcy7iDffP7V,2010-01-14,53,316266,0.718,0.153,0.676,0.0306,0.0706,0.944,-11.633,0.0318,112.711,11,4
Oh Honey,Oh Honey,Delegation,3TiCuJiisBOB9HzKAM6FDG,1978-07-17,61,356200,0.734,0.188,0.42,0.242,0.0826,0.462,-12.036,0.028,94.161,2,4
Piero laughs at us,Piero laughs at us,Various Artists,0fGbon58TJAGc3wNRkAUKV,1990-12-01,25,206710,0.634,0.574,0.595,0.0,0.339,0.894,-12.152,0.0375,206.003,6,4
Killing Me Softly With His Song,The Score (Expanded Edition),Fugees,0Q0IVlqMV64kNLlwjPj0Hl,1996-02-13,76,298773,0.765,0.0279,0.29,0.0,0.571,0.506,-17.117,0.139,92.409,4,4
Traveler,4 Walls - The 4th Album,f(x),3EIZGrbNkBYKZpIa3YcXAt,2015-10-27,26,218202,0.859,0.156,0.785,8.95e-05,0.137,0.684,-7.252,0.0714,124.015,9,4
4 Walls,4 Walls - The 4th Album,f(x),2YkjXEab4USTV9uuAgC90E,2015-10-27,56,207477,0.735,0.212,0.849,2.94e-05,0.0608,0.223,-4.308,0.129,125.972,4,4
Untuk Mencintaimu,Lelaki Hebat,Seventeen,04tvOIuyk8y0QVA8Ta0UOd,2008-01-01,64,209346,0.345,0.169,0.614,0.175,0.0864,0.315,-4.534,0.0267,148.28,0,4
L,Perspektif,Hal,66SBpMfdxpe7B2UF0hq4DR,2018-08-23,2,220905,0.652,0.831,0.367,8.34e-05,0.0941,0.508,-7.015,0.032,152.791,2,4
Terlalu Tinggi,Sentimental,Juicy Luicy,4GHzE0rDsSkbj6V6UXZTLc,2020-11-06,57,278667,0.37,0.0428,0.447,0.0,0.0924,0.375,-7.176,0.0296,184.763,10,3
keepyousafe,keepyousafe,Yahya,3Sbova9DAY3pc9GTAACT4b,2020-01-10,62,261673,0.557,0.739,0.367,0.00904,0.0907,0.193,-11.719,0.03,86.866,3,4
Tolong! Kami Butuh Bantuan!,Yang Berlalu Biar Berlalu / Tolong! Kami Butuh Bantuan!,Rasukma,5QgMSGiLxwRgRNc7wLAOoV,2018-08-17,31,149000,0.78,0.962,0.11,0.0983,0.114,0.512,-18.639,0.0893,119.916,0,4
Call Me,Call Me,Rainlord.,37HRd8gZ7F1l1Awm6debTv,2019-01-30,58,144054,0.597,0.879,0.317,3.08e-05,0.369,0.29,-14.075,0.0338,76.946,4,4
Kau Rumahku,Kau Rumahku,raissa anggiani,7IRi1d3Nsrww8mnGv1YW4l,2022-01-10,0,275250,0.35,0.873,0.323,1.48e-06,0.103,0.278,-8.982,0.0369,169.513,1,3
Satu,Laskar Cinta,Dewa,6LVz9rEORZOXopyaXN9FXp,2004,56,286573,0.56,0.236,0.67,0.119,0.11,0.519,-8.71,0.0289,145.944,7,4
Jatuh Suka,Manusia,Tulus,6PqWdGIYq5xdLaa4zCZfRp,2022-03-03,64,235000,0.39,0.668,0.44,0.000281,0.0982,0.356,-8.954,0.0355,89.213,6,4
Hati-Hati di Jalan,Manusia,Tulus,2hHeGD57S0BcopfVcmehdl,2022-03-03,78,242000,0.643,0.702,0.436,0.0889,0.115,0.755,-11.322,0.0357,71.969,6,4
夜に駆ける,THE BOOK,YOASOBI,6MCjmGYlw6mQVWRFVgBRvB,2021-01-06,72,258838,0.663,0.00299,0.871,1.8e-06,0.337,0.826,-5.287,0.03,130.025,8,4
Interaksi,Manusia,Tulus,32Pdf9eyXDEMoClEJW6yYP,2022-03-03,75,170000,0.464,0.778,0.344,1.23e-06,0.132,0.751,-8.302,0.033,177.713,9,4
